dose_ppm_hr,concentration_ppm,duration_hours,temp_c,rh_pct,r,g,b,L,a,b_lab,delta_e,delta_e_env,correction_residual,brightness,blur_score
43.401,42.391,1.02,36.6,83.1,57.61,49.54,37.99,21.0944,1.4439,8.7024,63.1539,6.7839,4.131,193.44,684.95
31.673,4.432,7.15,34.0,41.8,83.99,76.06,64.73,32.7892,1.1694,7.941,47.7168,5.9682,2.937,183.99,640.07
83.424,21.921,3.81,20.9,61.4,49.81,42.17,37.27,17.8133,2.5195,4.4971,68.2389,2.1789,0.431,187.96,785.05
65.293,12.441,5.25,37.7,64.6,51.41,45.16,40.5,19.0565,1.8697,4.0469,66.5276,6.2975,2.496,189.05,116.61
7.956,1.627,4.89,36.9,66.1,168.67,157.85,138.39,65.4728,0.6255,11.5987,15.6059,9.1534,8.531,215.95,164.89
95.577,64.214,1.49,26.5,49.3,44.76,45.1,38.54,18.2781,-1.6266,4.1942,67.3901,3.0861,6.246,194.3,744.47
10.862,1.671,6.5,21.8,50.9,165.61,158.65,130.93,65.2606,-2.1609,15.4063,15.0673,3.0335,5.939,216.94,138.59
48.869,6.147,7.95,26.8,56.1,70.66,60.26,51.02,26.2306,2.8024,7.3816,56.3587,3.5239,0.594,193.59,227.26
29.62,9.036,3.28,35.5,67.8,86.46,77.99,62.58,33.5668,0.7039,10.419,46.5018,6.6091,0.549,184.57,605.58
10.619,1.39,7.64,19.6,62.3,171.0,159.6,136.03,66.0902,0.1974,13.8082,14.6878,2.679,4.323,182.73,536.23
1.346,0.529,2.55,19.3,65.4,216.75,207.41,172.78,83.2038,-2.3489,18.3957,1.9712,1.8154,0.562,187.68,82.26
18.817,12.378,1.52,18.3,40.6,141.39,132.99,108.9,55.6565,-0.9779,14.1543,23.2728,3.0557,7.549,214.61,180.4
4.72,1.079,4.37,27.7,83.6,196.59,192.24,149.8,77.1703,-5.3439,21.9931,6.9716,6.0742,5.201,218.63,189.87
47.139,7.902,5.97,35.9,61.5,71.38,63.05,52.16,27.1969,1.5308,7.9964,54.8219,7.605,4.962,199.47,89.11
42.233,6.399,6.6,24.3,82.4,64.82,59.56,50.3,25.371,0.4287,6.5641,57.3067,5.4473,5.634,197.02,222.65
33.795,8.011,4.22,19.2,71.5,88.8,80.77,63.54,34.6589,0.1961,11.3599,45.0944,6.428,6.97,162.77,174.89
43.335,11.727,3.7,26.2,51.4,72.56,63.67,43.18,27.3101,0.2732,13.9614,54.1932,7.5384,8.3,185.91,651.89
79.627,25.637,3.11,35.6,72.9,51.86,31.89,36.97,14.8817,10.5814,0.5386,74.0599,6.8191,6.071,198.91,854.95
44.835,7.125,6.29,21.3,55.5,70.51,56.68,53.75,25.1999,5.5502,4.1228,58.8206,6.5083,4.677,198.77,96.39
9.154,2.468,3.71,28.1,75.6,180.92,151.45,131.61,64.763,7.9112,14.547,19.2539,4.1246,9.384,218.5,778.36
10.742,2.452,4.38,31.4,78.1,168.54,143.83,121.09,61.3635,5.7121,15.5374,20.2026,8.7491,8.757,216.32,798.7
49.785,8.935,5.57,31.7,76.8,60.61,53.38,33.29,22.5566,-0.3285,13.8339,60.7148,6.0862,6.883,200.65,785.55
10.731,2.115,5.07,27.8,37.6,158.48,157.54,125.63,64.2503,-5.1556,16.8582,16.2863,5.195,6.782,218.0,114.03
95.253,14.955,6.37,29.0,80.6,45.65,43.09,32.89,17.5358,-0.962,7.0742,68.0708,5.6713,3.906,186.51,86.2
15.367,2.143,7.17,19.2,70.7,157.4,147.06,122.78,61.2374,-0.2808,14.2535,18.4806,3.7771,5.966,214.68,807.23
2.194,0.456,4.81,32.0,70.8,209.71,195.69,170.94,79.5771,0.8844,14.2123,5.8228,6.1985,5.084,190.49,161.86
3.085,0.577,5.34,28.2,36.9,208.6,190.97,157.48,77.991,0.9879,19.182,5.9841,3.922,2.806,195.77,643.76
8.478,1.299,6.53,35.8,77.3,156.01,148.87,120.36,61.5587,-2.1962,16.0368,18.0499,6.9002,0.602,204.74,782.39
59.649,12.119,4.92,31.6,59.8,52.2,47.06,39.53,19.735,0.7662,5.6855,65.2725,5.9792,3.451,188.07,129.93
9.344,1.713,5.45,25.9,78.0,170.12,163.52,130.87,66.9562,-3.0502,17.8508,13.653,2.3898,5.139,218.0,83.73
47.636,15.456,3.08,31.5,43.1,66.22,51.39,49.21,22.9704,6.2537,3.9116,62.044,4.5987,6.342,203.77,206.08
10.822,9.072,1.19,29.8,37.5,164.49,153.08,128.84,63.617,0.1266,14.2698,16.5775,2.9338,1.724,214.31,783.22
11.054,3.677,3.01,27.9,71.9,157.9,158.97,124.64,64.5781,-6.3093,17.8493,16.276,7.3932,7.206,212.15,649.77
7.506,1.289,5.82,28.2,58.7,175.61,162.47,135.42,67.243,0.3358,15.8143,13.6048,4.0397,0.786,208.62,132.68
9.526,2.848,3.34,28.2,76.9,164.95,154.13,127.54,63.9148,-0.4657,15.4114,16.1634,6.1241,6.241,190.36,615.79
5.676,0.834,6.8,32.0,70.9,185.8,173.9,142.5,71.2946,-0.8303,17.6876,10.2243,5.713,4.568,192.01,185.16
11.54,1.599,7.22,34.8,63.2,144.24,132.35,111.73,55.8008,0.9732,12.7717,23.4602,4.6306,6.132,215.26,931.49
32.737,5.176,6.32,32.5,61.0,77.7,68.35,59.98,29.6874,2.3895,6.518,51.902,4.6515,1.815,202.85,762.59
8.238,1.718,4.79,30.0,54.6,156.42,150.85,130.11,62.3468,-1.5977,11.6748,17.8569,4.4039,0.738,205.14,694.23
79.872,16.147,4.95,24.4,37.2,56.25,41.71,32.99,18.3352,5.2607,8.3062,67.5985,3.1475,8.233,196.47,83.92
26.633,6.69,3.98,18.6,50.4,101.13,91.93,76.42,39.4868,0.9126,10.2852,39.7423,3.5907,2.976,189.84,696.14
31.339,11.222,2.79,35.0,62.1,82.7,72.28,61.17,31.4274,2.3499,8.2741,49.5138,6.3869,0.711,189.82,124.49
97.572,73.575,1.33,19.3,76.6,46.68,33.51,26.0,14.3312,5.0154,7.5182,72.4113,1.2214,9.484,205.15,799.52
1.78,0.269,6.63,28.9,64.6,217.86,205.29,170.62,82.7074,-1.1532,18.859,2.0749,3.12,2.432,222.13,101.45
0.754,0.115,6.58,35.0,46.5,218.19,203.72,173.8,82.3994,0.2513,16.7506,3.3257,6.595,1.494,191.21,608.7
4.797,0.683,7.03,30.1,79.8,192.31,171.12,143.74,71.1627,3.3648,16.9156,11.8388,5.5644,3.329,195.29,723.94
2.508,0.788,3.18,28.6,72.7,203.05,194.42,159.27,78.4545,-2.6742,18.7965,5.0944,3.9076,0.451,205.33,627.56
26.614,14.778,1.8,19.2,54.2,124.08,111.16,95.04,47.6509,2.2493,10.8233,31.4785,5.6558,7.564,191.87,615.12
11.284,3.766,3.0,37.9,64.4,144.13,134.52,112.99,56.4132,-0.0958,12.9022,22.7618,5.9659,2.415,189.35,97.61
88.938,13.563,6.56,25.0,58.8,41.77,39.66,30.86,15.9045,-0.9155,6.1646,70.1838,4.3226,4.761,200.51,723.55
26.681,24.774,1.08,37.9,65.1,86.57,79.78,69.33,34.2811,0.8044,7.1744,45.9844,8.0662,4.8,185.22,122.17
14.714,2.067,7.12,35.2,84.7,129.67,119.99,101.77,50.8107,0.5198,11.3644,28.0887,7.3624,0.465,198.46,188.34
87.388,23.475,3.72,24.7,75.0,46.32,41.04,28.01,16.7996,-0.0782,9.4462,68.8643,3.6583,5.403,201.21,202.58
11.474,4.745,2.42,19.9,80.7,160.76,151.83,127.3,62.9225,-0.89,14.1113,17.062,4.8047,5.691,211.19,648.98
65.095,17.835,3.65,35.5,55.9,45.34,42.78,34.99,17.4539,-0.5026,5.505,68.3237,7.5263,7.693,202.5,125.11
51.494,6.679,7.71,37.7,80.5,55.18,42.23,29.71,18.2846,3.8773,10.4597,67.2423,7.4067,7.079,199.89,114.18
0.053,0.024,2.25,33.8,68.4,221.39,212.67,181.04,85.0944,-2.1392,16.739,1.6819,5.4824,0.318,201.4,141.12
68.974,8.65,7.97,30.6,37.7,59.93,50.77,41.79,21.8432,2.3911,7.2217,62.344,4.944,1.11,182.97,709.29
9.57,1.31,7.31,28.6,65.2,166.97,156.4,128.19,64.7146,-0.8158,16.1917,15.4356,5.0115,4.846,204.47,205.86
5.975,3.538,1.69,26.3,55.8,188.91,175.55,143.83,72.0215,-0.3211,18.0159,9.7308,3.2634,1.828,216.57,696.88
0.306,0.067,4.54,20.0,45.0,218.82,213.53,177.54,85.0393,-4.0452,18.4721,2.8021,1.5312,5.231,216.11,153.39
30.672,8.086,3.79,19.1,39.3,107.21,98.3,81.3,42.046,0.5037,10.9704,36.8775,1.0516,0.557,191.46,177.44
0.792,0.294,2.7,26.3,45.3,216.09,207.37,176.36,83.2143,-2.0429,16.5134,2.384,3.2946,0.715,210.46,696.62
0.047,0.006,7.55,33.8,38.5,221.9,214.85,179.39,85.661,-3.3243,18.4055,2.0294,3.5442,4.766,225.23,833.71
42.812,8.081,5.3,19.3,80.6,81.82,74.51,62.61,32.0467,0.8049,8.2136,48.5514,2.5043,0.638,176.37,613.82
95.187,12.27,7.76,28.4,36.1,54.27,47.15,41.72,20.0509,2.1156,4.6619,65.1082,4.2591,2.383,188.04,211.4
6.881,4.688,1.47,35.4,71.7,175.18,154.61,132.39,65.0628,4.0156,14.4504,16.7663,8.5085,6.445,207.08,212.36
26.94,5.517,4.88,22.0,45.1,110.93,100.17,90.98,43.1792,2.5857,6.7615,36.6196,2.1545,0.955,176.85,119.65
6.678,0.973,6.87,33.4,57.6,172.32,167.55,131.43,68.2393,-4.2773,19.3398,12.8309,6.5243,7.888,220.64,733.16
76.223,9.532,8.0,37.3,51.4,50.81,47.53,37.4,19.6834,-0.6111,7.043,65.1543,6.3101,0.752,189.04,706.87
2.565,0.606,4.23,29.7,72.5,203.79,189.03,158.29,77.0985,0.297,17.4451,6.3358,4.4147,0.838,210.77,627.48
0.532,0.085,6.25,34.0,41.7,219.04,207.94,172.36,83.5167,-1.8366,19.0816,1.5046,4.8974,0.651,185.72,104.57
38.919,32.899,1.18,25.0,76.6,78.84,68.48,56.42,29.7573,2.204,8.9274,51.5095,3.8023,3.347,202.74,124.87
80.349,11.936,6.73,32.9,67.9,51.11,42.08,37.3,17.9359,3.2195,4.6689,68.1727,5.9691,0.624,156.05,92.65
2.264,0.38,5.96,33.9,50.6,206.76,203.0,164.26,81.0902,-5.026,19.8416,4.7189,5.1457,5.459,212.47,210.16
7.102,1.669,4.26,37.0,56.1,183.01,160.31,131.59,67.2587,3.8719,18.0488,14.6746,4.4779,7.508,218.69,168.91
8.653,1.266,6.83,30.8,79.0,172.15,156.12,122.99,64.9908,0.648,19.5207,15.2959,6.0859,7.539,219.71,789.82
0.652,0.369,1.77,29.2,82.3,218.6,212.97,177.46,84.876,-3.8533,18.2846,2.6686,5.2547,5.873,226.3,733.84
4.414,2.369,1.86,36.1,46.0,195.85,178.61,151.97,73.5891,1.8928,15.8651,9.5699,5.5517,1.029,186.16,570.11
6.996,1.321,5.3,33.2,69.2,171.97,155.86,132.54,65.104,2.0987,14.3793,15.8988,4.7309,2.818,216.33,754.54
11.382,4.335,2.63,21.9,58.2,162.1,145.95,125.4,61.4175,2.6021,13.0897,19.1347,6.0989,8.011,201.85,750.76
18.829,4.393,4.29,35.4,57.0,124.99,114.52,96.23,48.7097,0.862,11.6124,30.111,5.2187,2.616,211.87,755.24
1.491,0.445,3.35,25.6,65.5,211.48,205.41,173.6,82.2824,-3.1377,16.6109,3.3678,6.2096,3.278,187.24,533.72
5.153,1.645,3.13,36.1,48.8,187.01,174.51,144.59,71.602,-0.3847,16.9918,10.0868,6.0965,1.317,193.0,620.75
9.614,3.187,3.02,31.3,53.5,165.29,153.91,127.41,63.881,-0.2305,15.4455,16.2115,4.9633,0.972,190.42,790.24
7.976,1.872,4.26,28.1,65.2,167.63,165.77,129.57,67.3339,-5.427,19.0516,13.8279,4.753,4.893,212.11,878.76
2.986,0.459,6.51,23.7,66.2,214.96,193.16,165.85,79.2707,3.4333,16.5705,7.4826,2.9133,6.0,224.48,736.54
42.728,9.153,4.67,31.2,83.1,66.05,54.87,48.5,23.9927,3.7393,5.8374,59.7587,6.5077,5.178,195.92,223.63
81.234,47.212,1.72,26.9,50.9,50.26,38.58,26.5,16.4321,3.3926,10.0753,69.5916,3.3959,7.968,201.0,125.14
1.599,0.301,5.31,31.1,51.2,215.48,201.39,175.72,81.621,0.747,14.6074,4.6731,5.2178,4.216,205.92,207.84
3.219,1.387,2.32,35.5,65.1,199.53,187.73,158.34,76.405,-0.6192,16.3968,6.6632,5.8475,4.507,217.2,754.39
7.372,2.073,3.56,35.7,61.6,157.59,150.11,125.52,62.1418,-1.4592,13.9772,17.709,6.3409,0.564,185.82,76.1
2.482,1.393,1.78,29.1,42.0,209.39,199.24,162.37,80.2875,-2.3573,19.7685,3.7578,4.5728,3.289,218.43,733.29
7.417,0.983,7.54,28.3,54.4,185.0,166.72,137.92,69.244,2.0638,17.3395,12.4976,3.8032,5.288,207.13,642.52
0.25,0.044,5.66,21.1,71.0,228.38,216.25,176.66,86.482,-2.0429,21.0546,1.1112,2.6086,0.604,197.49,638.51
6.667,1.842,3.62,32.8,48.0,171.57,160.44,136.63,66.3776,0.0563,13.88,14.4318,4.8043,0.494,204.89,719.92
41.346,6.778,6.1,31.8,41.0,67.36,57.85,43.72,24.9411,1.6082,10.3373,57.6776,6.138,5.993,171.19,593.93
11.908,5.462,2.18,25.7,35.5,155.85,145.52,120.86,60.6409,-0.3345,14.4844,18.9544,2.8695,0.505,206.1,680.48
33.236,8.227,4.04,25.8,84.7,84.34,74.82,67.56,32.5269,2.5967,5.7795,48.5545,3.4816,1.3,202.66,853.75
38.785,25.314,1.53,36.5,58.1,67.99,62.38,53.19,26.6605,0.5952,6.5201,55.5902,4.9919,3.505,203.22,836.11
45.687,9.261,4.93,28.0,71.1,72.71,62.83,46.78,27.1431,1.4149,11.4354,54.615,3.8111,4.459,185.24,628.35
5.03,1.697,2.96,20.0,53.8,199.13,180.64,158.64,74.5425,3.0492,13.6217,10.1845,3.2505,7.174,212.39,651.11
4.244,0.554,7.66,24.1,37.2,195.17,188.39,160.29,76.2562,-2.3112,15.0893,7.0132,2.0388,4.709,211.42,208.45
10.062,8.018,1.25,22.8,81.3,172.77,159.58,133.7,66.1878,0.5486,15.2556,14.517,2.8661,0.716,209.05,687.12
35.92,6.579,5.46,27.7,50.3,76.26,67.16,50.24,28.9367,0.8531,11.7146,52.1973,4.4163,5.239,196.8,260.92
6.072,0.834,7.28,36.7,57.8,181.55,168.29,143.94,69.481,0.7671,14.3198,12.1933,5.0938,0.613,200.04,613.98
5.42,1.594,3.4,31.8,56.7,183.04,168.53,142.66,69.6458,1.0135,15.2725,12.0214,4.4281,1.789,188.99,85.57
6.611,4.762,1.39,28.6,64.6,172.93,163.35,139.59,67.3359,-0.5467,13.605,13.654,7.5261,7.754,206.77,209.39
54.857,10.24,5.36,33.5,68.1,59.07,51.45,31.31,21.7262,-0.1133,14.0038,61.8925,6.0024,10.135,203.16,746.34
8.355,1.519,5.5,34.9,79.6,165.69,162.82,127.01,66.3191,-4.9802,19.0356,14.4846,6.3448,4.664,209.2,183.83
11.383,3.269,3.48,21.1,64.1,156.48,151.73,127.34,62.5305,-2.5028,13.4848,17.5122,5.4075,4.926,217.15,1033.82
1.84,0.375,4.91,18.4,40.8,210.07,207.6,170.73,82.679,-5.2227,18.6664,4.4166,5.6019,4.643,214.66,124.25
76.544,35.531,2.15,34.8,63.6,50.24,42.03,37.49,17.8226,2.865,4.3636,68.3012,5.5995,0.743,186.95,103.83
2.17,1.206,1.8,19.6,53.3,215.62,200.48,168.7,81.2529,0.2422,17.8244,3.704,2.2175,0.904,201.76,751.64
21.893,2.923,7.49,24.2,53.8,129.68,113.94,93.43,48.9329,2.7259,13.6339,30.0628,4.1523,8.678,211.98,236.79
4.368,0.571,7.65,30.2,70.3,198.79,186.47,158.17,76.0102,-0.2527,15.9284,7.0781,5.4788,7.235,223.44,1041.0
59.246,15.904,3.73,31.3,62.3,57.94,48.5,42.84,20.9279,3.1504,5.1959,63.9869,3.2603,5.041,201.81,1007.14
8.788,4.748,1.85,25.8,55.0,173.57,174.31,140.04,70.3407,-6.1194,17.5523,12.0059,4.6648,5.269,218.14,211.24
8.571,2.127,4.03,27.7,54.2,178.92,169.42,142.09,69.5137,-1.1353,15.3496,11.7346,4.0726,2.454,209.31,796.85
50.578,8.193,6.17,25.5,38.5,79.21,65.34,58.86,28.9159,4.789,6.1798,53.4569,4.3356,7.036,201.43,165.44
98.571,20.616,4.78,35.5,83.5,48.04,33.27,30.24,14.5539,6.5679,4.8281,72.8217,6.4268,5.092,198.91,1035.8
11.468,1.455,7.88,30.2,41.9,145.78,130.78,112.52,55.5297,2.6097,11.9581,24.1936,5.9824,5.768,190.59,650.17
5.129,0.685,7.49,31.1,39.6,190.62,182.09,150.43,74.0221,-2.1831,17.2368,8.2409,4.7045,4.387,205.97,683.93
42.853,39.873,1.07,32.2,61.4,77.49,63.19,56.97,28.0335,5.0649,6.1341,54.6569,7.8815,7.759,196.71,102.76
4.67,3.215,1.45,35.7,67.5,188.89,187.59,170.06,75.7615,-2.6328,9.0377,9.5622,5.9291,10.203,216.31,809.97
11.138,8.257,1.35,32.6,56.9,157.4,147.49,122.96,61.3589,-0.4898,14.3203,18.3553,6.8059,6.117,189.7,87.05
68.091,12.477,5.46,21.1,71.4,53.36,41.46,39.6,18.0776,5.1579,3.3064,68.5757,4.8231,5.082,202.46,180.71
19.791,10.718,1.85,23.1,43.1,131.31,122.2,102.38,51.5939,0.0173,12.1257,27.2222,3.895,3.78,209.08,794.79
70.707,29.253,2.42,18.7,62.4,64.25,56.0,45.96,24.0776,1.7103,7.6153,59.0979,3.0459,3.252,201.67,746.51
21.714,3.376,6.43,29.5,82.0,116.67,104.57,87.5,44.901,1.807,11.359,34.0585,6.6762,2.987,193.25,597.14
87.062,23.97,3.63,22.9,48.7,47.0,40.44,26.51,16.6424,0.4411,10.278,69.0365,3.8692,8.343,186.5,177.76
47.852,7.757,6.17,26.5,74.5,60.63,57.71,46.07,24.242,-1.0803,7.7104,58.6981,6.3101,4.23,201.05,729.7
2.66,1.606,1.66,20.1,68.0,217.66,211.15,171.87,84.2192,-4.076,20.2958,2.7768,3.3872,10.539,230.35,804.05
6.519,3.452,1.89,19.6,55.3,189.34,174.2,143.03,71.6886,0.4514,17.996,10.1407,2.2642,3.334,193.0,685.66
10.398,1.465,7.1,32.7,44.9,166.48,151.9,125.4,63.4057,1.0426,15.923,16.7758,3.0589,6.878,217.12,881.72
5.051,2.82,1.79,35.4,75.4,181.16,173.08,142.5,70.6849,-2.1793,16.7822,10.7443,5.9116,1.859,202.36,727.35
49.096,6.23,7.88,29.9,45.6,64.16,55.58,46.94,23.9601,2.1193,6.7971,59.3984,3.9985,3.647,188.8,117.56
70.362,12.606,5.58,20.3,71.3,60.35,50.49,42.69,21.8269,2.9349,6.5994,62.5184,2.1548,0.557,177.14,617.45
4.267,1.907,2.24,35.9,66.0,186.75,181.94,153.53,73.7287,-3.0972,15.097,8.9157,6.0687,0.437,202.48,563.49
8.798,1.112,7.91,28.5,73.7,162.89,155.4,129.89,64.1276,-1.6079,14.3735,16.0506,4.3009,6.215,219.14,179.71
4.555,1.612,2.83,26.1,43.2,214.23,193.58,157.89,79.1542,1.8128,20.6484,5.8176,2.7287,6.757,200.9,621.34
9.043,1.406,6.43,36.6,42.4,168.46,157.74,132.93,65.303,-0.247,14.3946,15.1683,5.1174,0.531,191.52,656.72
6.696,4.584,1.46,26.9,42.9,187.57,169.88,142.75,70.3972,2.0549,16.3299,11.7585,3.7171,5.143,213.27,105.38
6.154,0.771,7.98,19.2,36.4,191.22,175.23,147.98,72.2247,1.3448,16.0691,10.2058,2.8546,3.613,214.64,975.87
11.949,1.765,6.77,27.0,41.9,159.0,144.66,127.25,60.832,2.3833,11.1821,19.8345,5.9263,5.856,183.15,73.33
11.803,4.576,2.58,20.8,52.0,150.21,141.18,117.42,58.8827,-0.6976,13.9015,20.475,2.5378,1.176,206.93,633.15
9.609,1.958,4.91,19.9,65.3,176.35,168.93,139.03,69.1015,-2.3287,16.4222,11.9905,2.4815,2.888,218.37,210.99
23.809,7.099,3.35,22.9,75.7,112.46,101.55,83.76,43.5468,1.2084,11.6552,35.3253,6.427,5.924,213.0,256.14
77.593,25.214,3.08,22.4,51.4,54.78,45.91,40.58,19.6799,2.9831,4.9284,65.7302,2.5122,0.439,175.54,643.93
3.126,0.528,5.92,29.1,40.8,219.84,202.64,160.52,81.9949,-0.4309,23.2355,3.4612,2.5273,6.263,219.43,754.9
5.444,0.897,6.07,33.6,51.1,196.74,174.85,145.46,72.5606,3.3166,17.98,10.7901,6.3665,4.062,209.45,733.8
50.482,7.149,7.06,28.0,48.6,56.71,53.72,45.56,22.5401,-0.391,5.6144,61.2816,4.2133,6.453,189.35,73.34
0.849,0.181,4.69,19.9,58.3,224.26,208.5,171.57,84.0745,-0.2941,20.3346,1.8803,4.2447,2.865,201.75,120.66
5.104,1.234,4.13,21.4,57.3,191.14,180.91,159.27,73.9464,-0.0102,12.3435,9.285,5.199,5.472,210.33,113.21
81.474,14.464,5.63,19.6,35.4,59.66,53.06,43.12,22.5742,0.9809,7.3416,61.1403,2.5633,0.697,198.46,276.56
34.688,21.989,1.58,31.6,73.4,76.38,67.21,55.01,29.0749,1.6529,8.8433,52.3113,5.9875,4.427,204.59,865.44
11.675,1.709,6.83,21.2,40.4,170.07,150.63,127.3,63.433,3.4502,14.9473,17.6458,1.1706,4.486,190.8,595.2
89.307,18.109,4.93,29.9,38.2,42.85,29.6,36.96,12.9363,7.9949,-2.4608,75.8477,3.9606,8.755,202.57,742.75
8.033,1.037,7.74,33.0,70.3,163.73,160.32,131.93,65.5768,-3.645,15.2731,15.0414,6.2351,4.86,216.18,131.33
74.861,22.325,3.35,19.2,45.2,61.51,48.59,38.12,21.2513,4.0041,8.9067,63.2742,3.4068,5.023,197.59,773.99
